user-id,timestamp,accX,accY,accZ,ActivityEncoded
14,57711602306000,16.4,10.23,1.69,0
14,57711652294000,9.19,-0.34,3.99,0
14,57711702313000,6.78,4.67,1.76,0
14,57711752300000,17.82,18.81,-3.11,0
14,57711802319000,4.75,10.23,-4.02,0
14,57711852306000,1.46,1.5,0.46,0
14,57711902294000,13.44,4.37,1.8,0
14,57711952313000,13.67,7.74,8.2,0
14,57712002575000,4.82,7.5,0.57,0
14,57712052319000,8.31,10.15,-7.21,0
14,57712102306000,8.58,15.79,-10.72,0
14,57712152325000,-2.56,10.08,5.28,0
14,57712202313000,-1.38,8.43,-1.27,0
14,57712252300000,3.68,6.82,-1.42,0
14,57712302319000,17.54,10.46,4.4,0
14,57712352306000,8.47,-1.14,5.43,0
14,57712402294000,4.63,3.49,-0.34,0
14,57712452313000,17.47,19.5,-1.5,0
14,57712502300000,3.68,7.44,3.99,0
14,57712552319000,4.63,2.26,-4.33,0
14,57712602306000,12.91,4.37,-2.91,0
14,57712652294000,10.8,5.63,7.25,0
14,57712702313000,4.44,6.21,10.46,0
14,57712752300000,8.62,8.39,-5.37,0
14,57712802319000,13.18,14.67,-11.26,0
14,57712852306000,2.76,11.37,-4.52,0
14,57712902294000,-2.34,11.54,8.24,0
14,57712952740000,5.41,7.31,4.29,0
14,57713002300000,14.67,5.22,6.13,0
14,57713052349000,4.67,0.46,1.33,0
14,57713102306000,3.95,1.65,0.5,0
14,57713152294000,14.14,15.24,-0.99,0
14,57713202313000,10.92,14.18,4.56,0
14,57713252300000,3.11,6.02,-3.98,0
14,57713302319000,13.67,3.38,1.46,0
14,57713352306000,13.53,2.45,10.8,0
14,57713408794000,8.96,5.9,-0.23,0
14,57713408794000,8.96,5.9,-0.23,0
14,57713462292000,18.31,11.3,-7.82,0
14,57713512341000,18.66,18.66,-11.54,0
14,57713562328000,2.15,15.79,-6.93,0
14,57713612347000,-10.5,17.77,6.09,0
14,57713662334000,-5.63,6.78,1.69,0
14,57713712322000,2.07,5.28,13.33,0
14,57713762341000,16.25,13.53,8.08,0
14,57713812328000,7.27,4.02,0.89,0
14,57713862347000,7.44,18.81,-2.49,0
14,57713912334000,2.07,9.47,-3.83,0
14,57713962353000,3.15,5.63,-13.17,0
14,57714012310000,6.21,7.97,-8.01,0
14,57714062328000,5.52,11.45,-3.11,0
14,57714112347000,0.04,15.09,6.47,0
14,57714162334000,2.11,10.5,8.96,0
14,57714212322000,9.47,9.04,-3.41,0
14,57714262341000,11.3,8.39,-1.08,0
14,57714312328000,10.69,12.83,9.62,0
14,57714362347000,15.6,9.51,-4.21,0
14,57714412334000,12.98,12.34,-7.35,0
14,57714462322000,11.11,16.97,-15.28,0
14,57714512341000,1.5,10.88,-7.5,0
14,57714562328000,-0.72,8.01,3.26,0
14,57714612347000,-2.37,5.13,-2.91,0
14,57714662334000,-0.38,4.52,-0.89,0
14,57714712322000,1.95,11.26,3.91,0
14,57714762341000,10.12,11.73,6.02,0
14,57714812328000,10.19,16.25,0.42,0
14,57714862347000,2.49,9.62,0.72,0
14,57714912334000,-1.46,2.56,-1.53,0
14,57714962322000,3.3,8.12,-1.8,0
14,57715012341000,9.34,12.15,-5.09,0
14,57715062328000,5.28,6.28,-0.11,0
14,57715112347000,7.06,7.78,4.67,0
14,57715162334000,11.73,5.6,0.04,0
14,57715212322000,7.78,4.33,2.68,0
14,57715262341000,9.47,5.28,0.23,0
14,57715322338000,12.41,10.0,2.34,0
14,57715382336000,5.71,10.04,-3.45,0
14,57715432324000,6.02,18.58,-10.65,0
14,57715482342000,-2.87,10.57,6.89,0
14,57715532330000,0.99,8.28,-0.91,0
14,57715582348000,3.87,6.66,4.02,0
14,57715632366000,15.55,11.3,-0.38,0
14,57715682323000,9.0,4.94,-0.69,0
14,57715732342000,6.09,0.38,3.76,0
14,57715782330000,5.09,4.67,0.72,0
14,57715832348000,14.67,16.09,-2.14,0
14,57715882336000,13.33,13.99,0.53,0
14,57715932324000,-0.3,7.44,0.42,0
14,57715982342000,1.61,6.13,-2.41,0
14,57716032330000,5.24,11.03,-2.72,0
14,57716082348000,10.42,4.14,3.38,0
14,57716132336000,11.3,3.64,-3.34,0
14,57716202343000,10.65,9.96,-3.34,0
14,57716252270000,11.45,12.03,-9.72,0
14,57716302349000,2.34,10.69,-7.16,0
14,57716352245000,-0.57,12.87,9.89,0
14,57716402294000,1.46,7.82,-1.31,0
14,57716452313000,5.28,8.28,2.07,0
14,57716502331000,15.4,11.03,1.88,0
14,57716552319000,8.58,0.34,3.91,0
14,57716602306000,5.94,0.15,3.21,0
14,57716652294000,10.27,11.88,-1.88,0
14,57716702313000,15.43,17.69,-4.79,0
14,57716752300000,2.49,6.24,3.91,0
14,57716802380000,4.94,5.33,-1.04,0
14,57716852306000,14.63,6.4,-0.3,0
14,57716902294000,8.28,6.44,8.28,0
14,57716952313000,5.48,6.59,3.53,0
14,57717002300000,9.34,7.63,-5.94,0
14,57717052319000,17.01,16.13,-11.18,0
14,57717102306000,1.46,9.08,-4.75,0
14,57717152294000,-3.53,11.45,7.7,0
14,57717202313000,1.76,7.27,2.18,0
14,57717252331000,9.51,9.38,5.09,0
14,57717302319000,11.5,5.37,3.76,0
